"LOCATION","Country","ENV_INDICATORS","Indicator","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","WATE17","Share of agriculture in total emissions of phosphorus (%)","2001","2001",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE17","Share of agriculture in total emissions of phosphorus (%)","2002","2002",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE17","Share of agriculture in total emissions of phosphorus (%)","2003","2003",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE17","Share of agriculture in total emissions of phosphorus (%)","2004","2004",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE17","Share of agriculture in total emissions of phosphorus (%)","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1990","1990",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1991","1991",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1992","1992",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1993","1993",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1994","1994",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1995","1995",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1996","1996",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1997","1997",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1998","1998",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","1999","1999",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2000","2000",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2001","2001",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2002","2002",10,,
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2003","2003",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2004","2004",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE20","Monitoring sites in agricultural areas that exceed recommended drinking water limits (%)","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1990","1990",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1991","1991",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1992","1992",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1993","1993",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1994","1994",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1995","1995",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1996","1996",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1997","1997",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1998","1998",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","1999","1999",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","2000","2000",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","2001","2001",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","2002","2002",,"M","Missing value; data cannot exist"
"AUS","Australia","WATE21","Monitoring sites in agricultural areas where one or more pesticides are present in surface water (%)","2003","2003",,"M","Missing value; data cannot exist"
